,apartment_type,district,agency,size,floor,year_built,station_distance,cost
5041,1R APARTMENT,"IN YAKUMO
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 22.14 m²,Floor 3 / 3F,Year Built 1981,Toritsu-daigaku Station (8 min. walk),"Monthly Costs ¥75,000"
5042,1R APARTMENT,"IN IZUMI
SUGINAMI-KU, TOKYO",Atinn Inc.,Size 11.83 m²,Floor 1 / 2F,Year Built 2016,Meidaimae Station (6 min. walk),"Monthly Costs ¥81,000"
5043,1K APARTMENT,"IN SHIMOMEGURO
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 26.41 m²,Floor 2 / 3F,Year Built 2004,Musashi Koyama Station (13 min. walk),"Monthly Costs ¥92,000"
5044,1LDK APARTMENT,"IN TAIHEI
SUMIDA-KU, TOKYO",Atinn Inc.,Size 40.85 m²,Floor 2 / 13F,Year Built 2019,Kinshichou Station (9 min. walk),"Monthly Costs ¥190,000"
5045,1R APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 15.20 m²,Floor 2 / 4F,Year Built 2020,Nippori Station (6 min. walk),"Monthly Costs ¥106,000"
5046,1K APARTMENT,"IN HONCHO
ITABASHI-KU, TOKYO",Atinn Inc.,Size 25.13 m²,Floor 3 / 11F,Year Built 2019,Itabashi Honchou Station (3 min. walk),"Monthly Costs ¥136,200"
5047,2LDK APARTMENT,"IN YARAICHO
SHINJUKU-KU, TOKYO","Century 21 Nishin Co., Ltd.",Size 76.01 m²,Floor 6 / 10F,Year Built 2016,Kagurazaka Station (3 min. walk),"Monthly Costs ¥400,330"
5048,1R APARTMENT,"IN ZOSHIGAYA
TOSHIMA-KU, TOKYO",Atinn Inc.,Size 13.85 m²,Floor 1 / 5F,Year Built 2019,Higashiikebukuro Yon Choume Station (6 min. walk),"Monthly Costs ¥98,000"
5049,1R APARTMENT,"IN SANNO
OTA-KU, TOKYO",Atinn Inc.,Size 19.00 m²,Floor 1 / 2F,Year Built 2016,Omori Station (8 min. walk),"Monthly Costs ¥106,000"
5050,1R APARTMENT,"IN YARAICHO
SHINJUKU-KU, TOKYO",RE/MAX Amistad,Size 29.43 m²,Floor 4 / 15F,Year Built 2006,Kagurazaka Station (1 min. walk),"Monthly Costs ¥130,000"
5051,2LDK APARTMENT,"IN HIGASHIKASAI
EDOGAWA-KU, TOKYO",RE/MAX Amistad,Size 71.73 m²,Floor 3 / 12F,Year Built 2014,Kasai Station (4 min. walk),"Monthly Costs ¥229,000"
5052,1LDK APARTMENT,"IN SHIMOMEGURO
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 39.12 m²,Floor 3 / 4F,Year Built 2020,Meguro Station (9 min. walk),"Monthly Costs ¥199,000"
5053,2LDK APARTMENT,"IN NISHIIKEBUKURO
TOSHIMA-KU, TOKYO",World Clover,Size 57.82 m²,Floor 4 / 32F,Year Built 2006,Ikebukuro Station (2 min. walk),"Monthly Costs ¥262,000"
5054,1R APARTMENT,"IN NISHIGOTANDA
SHINAGAWA-KU, TOKYO","Balleggs Co., Ltd.",Size 20.70 m²,Floor 3 / 4F,Year Built 1984,Fudoumae Station (4 min. walk),"Monthly Costs ¥81,000"
5055,1R APARTMENT,"IN TAKADANOBABA
SHINJUKU-KU, TOKYO",NOW ROOM,Size 17.00 m²,Floor 2 / 2F,Year Built 1990,Takadanobaba Station (8 min. walk),"Monthly Costs ¥136,364"
5056,1R APARTMENT,"IN KAMIUMA
SETAGAYA-KU, TOKYO","Balleggs Co., Ltd.",Size 15.00 m²,Floor 2 / 3F,Year Built 1986,Komazawa-daigaku Station (5 min. walk),"Monthly Costs ¥57,000"
5057,1R APARTMENT,"IN SANGENJAYA
SETAGAYA-KU, TOKYO",Atinn Inc.,Size 12.88 m²,Floor 2 / 4F,Year Built 2018,Sangenjaya Station (7 min. walk),"Monthly Costs ¥93,000"
5058,1R APARTMENT,"IN HARAMACHI
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 15.00 m²,Floor 3 / 3F,Year Built 2004,Nishikoyama Station (3 min. walk),"Monthly Costs ¥71,000"
5059,1LDK APARTMENT,"IN HANAKAWADO
TAITO-KU, TOKYO",World Clover,Size 40.56 m²,Floor 5 / 13F,Year Built 2015,Asakusa Station (2 min. walk),"Monthly Costs ¥164,000"
5060,1DK APARTMENT,"IN HARAMACHI
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 27.24 m²,Floor 2 / 4F,Year Built 1981,Senzoku Station (8 min. walk),"Monthly Costs ¥84,000"
5061,1R APARTMENT,"IN OHARA
SETAGAYA-KU, TOKYO",Atinn Inc.,Size 13.40 m²,Floor 2 / 5F,Year Built 2019,Daitabashi Station (3 min. walk),"Monthly Costs ¥114,000"
5062,1K APARTMENT,"IN KOYAMA
SHINAGAWA-KU, TOKYO","Balleggs Co., Ltd.",Size 20.02 m²,Floor B1 / 5F,Year Built 2019,Musashi Koyama Station (3 min. walk),"Monthly Costs ¥90,000"
5063,3LDK APARTMENT,"IN KOMABA
MEGURO-KU, TOKYO",TOKYO BEST REALTORS,Size 64.63 m²,Floor 4 / 5F,Year Built 1979,Yoyogi-uehara Station (10 min. walk),"Monthly Costs ¥303,000"
5064,1R APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 15.00 m²,Floor 4 / 4F,Year Built 2020,Nippori Station (6 min. walk),"Monthly Costs ¥106,000"
5065,1R APARTMENT,"IN IKEGAMI
OTA-KU, TOKYO",Atinn Inc.,Size 11.20 m²,Floor 2 / 2F,Year Built 2015,Ikegami Station (8 min. walk),"Monthly Costs ¥91,000"
5066,1K APARTMENT,"IN MINAMIAZABU
MINATO-KU, TOKYO",World Clover,Size 25.05 m²,Floor 5 / 9F,Year Built 2006,Hiroo Station (10 min. walk),"Monthly Costs ¥123,000"
5067,1K APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",Atinn Inc.,Size 13.48 m²,Floor 2 / 3F,Year Built 2017,Nishishinjuku Go Choume Station (8 min. walk),"Monthly Costs ¥104,000"
5068,3LDK APARTMENT,"IN HARAMACHI
SHINJUKU-KU, TOKYO",World Clover,Size 74.26 m²,Floor 3 / 30F,Year Built 2008,Ushigome Yanagicho Station (4 min. walk),"Monthly Costs ¥295,000"
5069,1R APARTMENT,"IN NISHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 14.00 m²,Floor 1 / 4F,Year Built 2017,Nishinippori Station (4 min. walk),"Monthly Costs ¥96,000"
5070,1R APARTMENT,"IN YOKOAMI
SUMIDA-KU, TOKYO",Atinn Inc.,Size 13.90 m²,Floor 2 / 2F,Year Built 2016,Ryogoku Station (4 min. walk),"Monthly Costs ¥106,250"
5071,1LDK APARTMENT,"IN SHIMOUMA
SETAGAYA-KU, TOKYO","Balleggs Co., Ltd.",Size 29.02 m²,Floor 2 / 4F,Year Built 1997,Yutenji Station (9 min. walk),"Monthly Costs ¥102,000"
5072,1R APARTMENT,"IN ISHIWARA
SUMIDA-KU, TOKYO",matsuri technologies,Size 13.20 m²,Floor 1 / 5F,Year Built 2019,Ryogoku Station (7 min. walk),"Monthly Costs ¥118,500"
5073,1R APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO",Atinn Inc.,Size 15.03 m²,Floor 2 / 5F,Year Built 2020,Kameido Station (6 min. walk),"Monthly Costs ¥106,000"
5074,1R APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 15.00 m²,Floor 2 / 4F,Year Built 2020,Nippori Station (6 min. walk),"Monthly Costs ¥105,000"
5075,1R APARTMENT,"IN OHARA
SETAGAYA-KU, TOKYO",Atinn Inc.,Size 13.88 m²,Floor 4 / 5F,Year Built 2019,Daitabashi Station (3 min. walk),"Monthly Costs ¥114,000"
5076,1LDK APARTMENT,"IN IWATOCHO
SHINJUKU-KU, TOKYO",RE/MAX Amistad,Size 39.36 m²,Floor 5 / 5F,Year Built 2007,Ushigome Kagurazaka Station (1 min. walk),"Monthly Costs ¥207,000"
5077,1K APARTMENT,"IN NISHIKAMATA
OTA-KU, TOKYO",ICHII CORPORATION,Size 22.55 m²,Floor 2 / 7F,Year Built 2007,Kamata Station (7 min. walk),"Monthly Costs ¥99,000"
5078,1R APARTMENT,"IN TOYO
KOTO-KU, TOKYO",Atinn Inc.,Size 14.07 m²,Floor 2 / 5F,Year Built 2018,Kiba Station (7 min. walk),"Monthly Costs ¥115,500"
5079,1R APARTMENT,"IN OHARA
SETAGAYA-KU, TOKYO",Atinn Inc.,Size 13.40 m²,Floor 4 / 5F,Year Built 2019,Daitabashi Station (3 min. walk),"Monthly Costs ¥116,000"
5080,1K APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",Atinn Inc.,Size 13.48 m²,Floor 1 / 3F,Year Built 2017,Nishishinjuku Go Choume Station (8 min. walk),"Monthly Costs ¥103,000"
5081,2DK APARTMENT,"IN NAGASAKI
TOSHIMA-KU, TOKYO",World Clover,Size 49.25 m²,Floor 3 / 10F,Year Built 1989,Higashi Nagasaki Station (6 min. walk),"Monthly Costs ¥129,000"
5082,1K APARTMENT,"IN OMORINISHI
OTA-KU, TOKYO",World Clover,Size 25.20 m²,Floor 3 / 6F,Year Built 2007,Omorimachi Station (4 min. walk),"Monthly Costs ¥97,000"
5083,1K APARTMENT,"IN TENJINCHO
SHINJUKU-KU, TOKYO",Atinn Inc.,Size 14.26 m²,Floor 2 / 3F,Year Built 2015,Kagurazaka Station (6 min. walk),"Monthly Costs ¥105,000"
5084,1R APARTMENT,"IN YOKOAMI
SUMIDA-KU, TOKYO",Atinn Inc.,Size 11.50 m²,Floor 1 / 2F,Year Built 2016,Ryogoku Station (4 min. walk),"Monthly Costs ¥104,220"
5085,1K APARTMENT,"IN MINAMIOTSUKA
TOSHIMA-KU, TOKYO",World Clover,Size 25.52 m²,Floor 6 / 10F,Year Built 2022,Otsuka Station (7 min. walk),"Monthly Costs ¥128,000"
5086,3K HOUSE,"IN CHUO
NAKANO-KU, TOKYO","Century 21 Nishin Co., Ltd.",Size 83.80 m²,Year Built 2019,Nearest Station Shinnakano Station (7 min. walk),?,"Monthly Costs ¥286,000"
5087,1R APARTMENT,"IN HIGASHI
SHIBUYA-KU, TOKYO","Balleggs Co., Ltd.",Size 21.45 m²,Floor 4 / 6F,Year Built 2001,Ebisu Station (4 min. walk),"Monthly Costs ¥93,000"
5088,1DK APARTMENT,"IN HIGASHISHINKOIWA
KATSUSHIKA-KU, TOKYO",Atinn Inc.,Size 28.30 m²,Floor 4 / 4F,Year Built 2015,Shinkoiwa Station (2 min. walk),"Monthly Costs ¥132,000"
5089,1R APARTMENT,"IN HIGASHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 15.20 m²,Floor 4 / 4F,Year Built 2020,Nippori Station (6 min. walk),"Monthly Costs ¥107,000"
5090,1R APARTMENT,"IN MISHUKU
SETAGAYA-KU, TOKYO","Balleggs Co., Ltd.",Size 16.14 m²,Floor 1 / 2F,Year Built 1992,Ikenoue Station (11 min. walk),"Monthly Costs ¥64,000"
5091,1R APARTMENT,"IN TOYO
KOTO-KU, TOKYO",Atinn Inc.,Size 14.07 m²,Floor 2 / 5F,Year Built 2018,Kiba Station (7 min. walk),"Monthly Costs ¥115,500"
5092,1R APARTMENT,"IN HYAKUNINCHO
SHINJUKU-KU, TOKYO",Atinn Inc.,Size 15.10 m²,Floor 2 / 2F,Year Built 2017,Okubo Station (3 min. walk),"Monthly Costs ¥102,500"
5093,1K APARTMENT,"IN OMORINISHI
OTA-KU, TOKYO",Atinn Inc.,Size 25.00 m²,Floor 4 / 4F,Year Built 2017,Heiwajima Station (6 min. walk),"Monthly Costs ¥134,450"
5094,1R APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO",Atinn Inc.,Size 18.86 m²,Floor 4 / 4F,Year Built 2017,Kameido Station (5 min. walk),"Monthly Costs ¥110,250"
5095,1R APARTMENT,"IN SHIMURA
ITABASHI-KU, TOKYO",Atinn Inc.,Size 10.00 m²,Floor 2 / 2F,Year Built 2015,Shimura San Choume Station (5 min. walk),"Monthly Costs ¥78,000"
5096,1K APARTMENT,"IN OMORINISHI
OTA-KU, TOKYO",Atinn Inc.,Size 25.00 m²,Floor 2 / 4F,Year Built 2017,Heiwajima Station (6 min. walk),"Monthly Costs ¥132,450"
5097,1K APARTMENT,"IN SHINJUKU
SHINJUKU-KU, TOKYO",World Clover,Size 18.73 m²,Floor 2 / 5F,Year Built 2016,Shinjukusanchoume Station (5 min. walk),"Monthly Costs ¥110,500"
5098,1K APARTMENT,"IN HIGASHITATEISHI
KATSUSHIKA-KU, TOKYO",World Clover,Size 22.46 m²,Floor 2 / 12F,Year Built 2021,Keiseitateishi Station (9 min. walk),"Monthly Costs ¥83,500"
5099,1R APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO",Atinn Inc.,Size 15.03 m²,Floor 4 / 5F,Year Built 2020,Kameido Station (6 min. walk),"Monthly Costs ¥109,000"
5100,1R APARTMENT,"IN NAKAMAGOME
OTA-KU, TOKYO",Atinn Inc.,Size 15.90 m²,Floor 4 / 5F,Year Built 2018,Magome Station (3 min. walk),"Monthly Costs ¥105,000"
5101,1K APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO",Atinn Inc.,Size 15.07 m²,Floor 5 / 5F,Year Built 2020,Kameido Station (6 min. walk),"Monthly Costs ¥111,000"
5102,1LDK APARTMENT,"IN YOTSUYA
SHINJUKU-KU, TOKYO",Sumaino Seika,Size 35.48 m²,Floor 9 / 13F,Year Built 2015,Yotsuya San Choume Station (4 min. walk),"Monthly Costs ¥165,000"
5103,1R APARTMENT,"IN ZOSHIGAYA
TOSHIMA-KU, TOKYO",Atinn Inc.,Size 13.58 m²,Floor 5 / 5F,Year Built 2019,Higashiikebukuro Yon Choume Station (6 min. walk),"Monthly Costs ¥100,000"
5104,3LDK APARTMENT,"IN DAIKANYAMACHO
SHIBUYA-KU, TOKYO","Century 21 Nishin Co., Ltd.",Size 89.13 m²,Floor 6 / 36F,Year Built 2000,Daikanyama Station (2 min. walk),"Monthly Costs ¥375,680"
5105,1K APARTMENT,"IN NISHISHINJUKU
SHINJUKU-KU, TOKYO",World Potential Corporation,Size 24.36 m²,Floor 8 / 13F,Year Built 1980,Tochomae Station (7 min. walk),"Monthly Costs ¥161,100 negotiable"
5106,1R APARTMENT,"IN NISHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 14.00 m²,Floor 3 / 4F,Year Built 2017,Nishinippori Station (4 min. walk),"Monthly Costs ¥99,000"
5107,1K APARTMENT,"IN HIGASHIIKEBUKURO
TOSHIMA-KU, TOKYO",Tokyo Monthly 21,Size 23.20 m²,Floor 2 / 15F,Year Built 2016,Ikebukuro Station (4 min. walk),"Monthly Costs ¥171,000 negotiable"
5108,2SLDK APARTMENT,"IN KITASENZOKU
OTA-KU, TOKYO","Balleggs Co., Ltd.",Size 75.01 m²,Floor 2 / 4F,Year Built 2021,Kitasenzoku Station (5 min. walk),"Monthly Costs ¥250,000"
5109,2LDK APARTMENT,"IN KAMATA
SETAGAYA-KU, TOKYO","Century 21 Nishin Co., Ltd.",Size 71.17 m²,Floor 4 / 5F,Year Built 1989,Futako-Tamagawa Station (21 min. walk),"Monthly Costs ¥180,000"
5110,1R APARTMENT,"IN KOENJIKITA
SUGINAMI-KU, TOKYO",ICHII CORPORATION,Size 16.50 m²,Floor 4 / 4F,Year Built 1984,Koenji Station (5 min. walk),"Monthly Costs ¥90,000"
5111,1K APARTMENT,"IN TONERI
ADACHI-KU, TOKYO",Atinn Inc.,Size 22.00 m²,Floor 1 / 3F,Year Built 2021,Minuma Dai Shinsui Kouen Station (2 min. walk),"Monthly Costs ¥101,400"
5112,1K APARTMENT,"IN HIGASHISHINAGAWA
SHINAGAWA-KU, TOKYO",World Clover,Size 21.48 m²,Floor 4 / 9F,Year Built 2006,Tennozu Isle Station (9 min. walk),"Monthly Costs ¥92,000"
5113,1LDK APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",RE/MAX Amistad,Size 42.15 m²,Floor 4 / 14F,Year Built 2019,Nishishinjuku Go Choume Station (4 min. walk),"Monthly Costs ¥217,000"
5114,1K APARTMENT,"IN NISHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 14.00 m²,Floor 4 / 4F,Year Built 2017,Nishinippori Station (4 min. walk),"Monthly Costs ¥99,000"
5115,1R APARTMENT,"IN IZUMI
SUGINAMI-KU, TOKYO",Atinn Inc.,Size 11.83 m²,Floor 1 / 2F,Year Built 2016,Meidaimae Station (6 min. walk),"Monthly Costs ¥75,820"
5116,1K APARTMENT,"IN NISHINIPPORI
ARAKAWA-KU, TOKYO",Atinn Inc.,Size 14.00 m²,Floor 2 / 4F,Year Built 2017,Nishinippori Station (4 min. walk),"Monthly Costs ¥97,000"
5117,1K HOUSE,"IN KITAKOIWA
EDOGAWA-KU, TOKYO",matsuri technologies,Size 21.97 m²,Year Built 2015,Nearest Station Edogawa Station (5 min. walk),?,"Monthly Costs ¥100,500"
5118,1DK APARTMENT,"IN KAMIOCHIAI
SHINJUKU-KU, TOKYO",Add Value,Size 28.00 m²,Floor 1 / 4F,Year Built 1989,Ochiai Station (5 min. walk),"Monthly Costs ¥79,000"
5119,1R APARTMENT,"IN OHARA
SETAGAYA-KU, TOKYO",Atinn Inc.,Size 13.88 m²,Floor 5 / 5F,Year Built 2019,Daitabashi Station (3 min. walk),"Monthly Costs ¥115,000"
5120,1LDK APARTMENT,"IN NAGASAKI
TOSHIMA-KU, TOKYO",RE/MAX Amistad,Size 43.42 m²,Floor 2 / 4F,Year Built 2022,Higashi Nagasaki Station (5 min. walk),"Monthly Costs ¥163,000"
5121,2DK APARTMENT,"IN HIGASHIMIZUE
EDOGAWA-KU, TOKYO",RE/MAX Amistad,Size 58.90 m²,Floor 2 / 2F,Year Built 2009,Mizue Station (10 min. walk),"Monthly Costs ¥125,500"
5122,2LDK APARTMENT,"IN KAIGAN(1.2-CHOME)
MINATO-KU, TOKYO",RE/MAX Amistad,Size 89.22 m²,Floor 37 / 56F,Year Built 2004,Hamamatsucho Station (3 min. walk),"Monthly Costs ¥369,000"
5123,1LDK APARTMENT,"IN SHINSENCHO
SHIBUYA-KU, TOKYO",RE/MAX Amistad,Size 41.83 m²,Floor 4 / 8F,Year Built 2021,Shinsen Station (3 min. walk),"Monthly Costs ¥215,000"
5124,1K APARTMENT,"IN TAIRAMACHI
MEGURO-KU, TOKYO","Yours Corporation Co.,Ltd.",Size 19.83 m²,Floor 2 / 2F,Year Built 1991,Toritsu-daigaku Station (4 min. walk),"Monthly Costs ¥82,000"
5125,1R APARTMENT,"IN FUKUZUMI
KOTO-KU, TOKYO",Atinn Inc.,Size 14.50 m²,Floor 1 / 5F,Year Built 2017,Monzennakachou Station (8 min. walk),"Monthly Costs ¥108,000"
5126,1K APARTMENT,"IN OOKAYAMA
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 20.00 m²,Floor 2 / 2F,Year Built 1983,Midorigaoka Station (9 min. walk),"Monthly Costs ¥70,000"
5127,1R APARTMENT,"IN SANNO
OTA-KU, TOKYO",Atinn Inc.,Size 16.00 m²,Floor 2 / 2F,Year Built 2016,Omori Station (8 min. walk),"Monthly Costs ¥102,000"
5128,1R APARTMENT,"IN NAKAMAGOME
OTA-KU, TOKYO",Atinn Inc.,Size 16.90 m²,Floor 4 / 5F,Year Built 2018,Magome Station (3 min. walk),"Monthly Costs ¥105,000"
5129,1R APARTMENT,"IN YAMABUKICHO
SHINJUKU-KU, TOKYO",Atinn Inc.,Size 13.12 m²,Floor 2 / 5F,Year Built 2018,Edogawabashi Station (4 min. walk),"Monthly Costs ¥102,000"
5130,1R APARTMENT,"IN TOYO
KOTO-KU, TOKYO",Atinn Inc.,Size 15.13 m²,Floor 1 / 5F,Year Built 2019,Kiba Station (4 min. walk),"Monthly Costs ¥106,550"
5131,1K APARTMENT,"IN SUMIDA
SUMIDA-KU, TOKYO",World Clover,Size 21.98 m²,Floor 5 / 6F,Year Built 2009,Kanegafuchi Station (9 min. walk),"Monthly Costs ¥85,000"
5132,1K APARTMENT,"IN KAMATA
OTA-KU, TOKYO",World Clover,Size 22.65 m²,Floor 9 / 20F,Year Built 2008,Keikyu Kamata Station (3 min. walk),"Monthly Costs ¥95,000"
5133,1K APARTMENT,"IN RYOGOKU
SUMIDA-KU, TOKYO",World Clover,Size 25.05 m²,Floor 2 / 14F,Year Built 2017,Ryogoku Station (6 min. walk),"Monthly Costs ¥106,000"
5134,1LDK APARTMENT,"IN HIGASHI
SHIBUYA-KU, TOKYO","Balleggs Co., Ltd.",Size 37.03 m²,Floor 2 / 15F,Year Built 2017,Shibuya Station (8 min. walk),"Monthly Costs ¥199,000"
5135,1K APARTMENT,"IN SHIMOMEGURO
MEGURO-KU, TOKYO",Add Value,Size 27.53 m²,Floor 2 / 2F,Year Built 2003,Fudoumae Station (10 min. walk),"Monthly Costs ¥94,000"
5136,1R APARTMENT,"IN FUKUZUMI
KOTO-KU, TOKYO",Atinn Inc.,Size 13.40 m²,Floor 2 / 5F,Year Built 2017,Monzennakachou Station (8 min. walk),"Monthly Costs ¥106,000"
5137,2DK APARTMENT,"IN MINAMISHINOZAKIMACHI
EDOGAWA-KU, TOKYO",RE/MAX Amistad,Size 38.00 m²,Floor 3 / 3F,Year Built 1989,Mizue Station (4 min. walk),"Monthly Costs ¥75,000"
5138,2K APARTMENT,"IN KAMEIDO
KOTO-KU, TOKYO",RE/MAX Amistad,Size 39.50 m²,Floor 3 / 4F,Year Built 1986,Kameido Station (5 min. walk),"Monthly Costs ¥115,000"
5139,2LDK APARTMENT,"IN KONAN
MINATO-KU, TOKYO",RE/MAX Amistad,Size 87.97 m²,Floor 13 / 14F,Year Built 1993,Shinagawa Station (2 min. walk),"Monthly Costs ¥325,000"
5140,1R APARTMENT,"IN OHARA
SETAGAYA-KU, TOKYO",Atinn Inc.,Size 13.23 m²,Floor 3 / 5F,Year Built 2019,Daitabashi Station (3 min. walk),"Monthly Costs ¥114,000"
5141,1DK APARTMENT,"IN TOYO
KOTO-KU, TOKYO",Atinn Inc.,Size 30.40 m²,Floor 5 / 5F,Year Built 2019,Kiba Station (4 min. walk),"Monthly Costs ¥193,200"
5142,1R APARTMENT,"IN FUKUZUMI
KOTO-KU, TOKYO",Atinn Inc.,Size 11.80 m²,Floor 1 / 5F,Year Built 2017,Monzennakachou Station (8 min. walk),"Monthly Costs ¥96,000"
5143,1K APARTMENT,"IN KAIGAN(3-CHOME)
MINATO-KU, TOKYO",World Clover,Size 26.07 m²,Floor 6 / 8F,Year Built 2020,Shibaura Futou Station (4 min. walk),"Monthly Costs ¥121,000"
5144,1R APARTMENT,"IN HIGASHIGOTANDA
SHINAGAWA-KU, TOKYO",Atinn Inc.,Size 45.95 m²,Floor 3 / 4F,Year Built 2021,Osaki Station (5 min. walk),"Monthly Costs ¥156,000"
5145,1K APARTMENT,"IN KAMIOSAKI
SHINAGAWA-KU, TOKYO","Balleggs Co., Ltd.",Size 19.79 m²,Floor 9 / 10F,Year Built 2000,Meguro Station (6 min. walk),"Monthly Costs ¥89,000"
5146,1K APARTMENT,"IN OHASHI
MEGURO-KU, TOKYO","Yours Corporation Co.,Ltd.",Size 17.88 m²,Floor 9 / 10F,Year Built 1999,Ikejiriohashi Station (6 min. walk),"Monthly Costs ¥86,475"
5147,1K APARTMENT,"IN KOYAMADAI
SHINAGAWA-KU, TOKYO","Balleggs Co., Ltd.",Size 15.13 m²,Floor 3 / 3F,Year Built 1991,Fudoumae Station (8 min. walk),"Monthly Costs ¥58,000"
5148,1R APARTMENT,"IN EBISUNISHI
SHIBUYA-KU, TOKYO",matsuri technologies,Size 17.98 m²,Floor 8 / 10F,Year Built 1986,Ebisu Station (7 min. walk),"Monthly Costs ¥136,500"
5149,1K APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",Atinn Inc.,Size 13.48 m²,Floor 1 / 3F,Year Built 2017,Nishishinjuku Go Choume Station (8 min. walk),"Monthly Costs ¥103,000"
5150,1LDK APARTMENT,"IN TAIHEI
SUMIDA-KU, TOKYO",Atinn Inc.,Size 40.85 m²,Floor 1 / 13F,Year Built 2019,Kinshichou Station (9 min. walk),"Monthly Costs ¥186,000"
5151,1K APARTMENT,"IN HOMMACHI
SHIBUYA-KU, TOKYO",Atinn Inc.,Size 13.48 m²,Floor 2 / 3F,Year Built 2017,Nishishinjuku Go Choume Station (8 min. walk),"Monthly Costs ¥104,000"
5152,1K APARTMENT,"IN HIGASHIASAKUSA
TAITO-KU, TOKYO",World Clover,Size 24.91 m²,Floor 4 / 6F,Year Built 2018,Minowa Station (12 min. walk),"Monthly Costs ¥96,000"
5153,1DK APARTMENT,"IN KOMAZAWA
SETAGAYA-KU, TOKYO","Balleggs Co., Ltd.",Size 25.00 m²,Floor 2 / 3F,Year Built 1996,Sakurashinmachi Station (10 min. walk),"Monthly Costs ¥85,000"
5154,1LDK APARTMENT,"IN MOTOASAKUSA
TAITO-KU, TOKYO",World Clover,Size 41.79 m²,Floor 13 / 13F,Year Built 2019,Shin Okachimachi Station (6 min. walk),"Monthly Costs ¥183,000"
5155,1K APARTMENT,"IN OMORINISHI
OTA-KU, TOKYO",Atinn Inc.,Size 25.00 m²,Floor 3 / 4F,Year Built 2017,Heiwajima Station (6 min. walk),"Monthly Costs ¥133,450"
5156,1R APARTMENT,"IN KAMIMEGURO
MEGURO-KU, TOKYO","Balleggs Co., Ltd.",Size 22.68 m²,Floor 1 / 2F,Year Built 2003,Yutenji Station (6 min. walk),"Monthly Costs ¥84,000"
5157,1K APARTMENT,"IN FUYUKI
KOTO-KU, TOKYO",World Clover,Size 26.28 m²,Floor 5 / 11F,Year Built 2017,Monzennakachou Station (9 min. walk),"Monthly Costs ¥117,000"
5158,1LDK APARTMENT,"IN AZABUJUBAN
MINATO-KU, TOKYO",RE/MAX Amistad,Size 72.84 m²,Floor 10 / 11F,Year Built 1990,Azabu-juban Station (1 min. walk),"Monthly Costs ¥435,000"
5159,1K APARTMENT,"IN KAMEZAWA
SUMIDA-KU, TOKYO","DAITOKENTAKU LEASING CO.,LTD.",Size 20.62 m²,Floor 4 / 6F,Year Built 2004,Ryogoku Station (6 min. walk),"Monthly Costs ¥83,000"
5160,1R APARTMENT,"IN ISHIWARA
SUMIDA-KU, TOKYO",World Clover,Size 25.75 m²,Floor 7 / 13F,Year Built 2007,Ryogoku Station (11 min. walk),"Monthly Costs ¥88,000"
5161,1R APARTMENT,"IN HYAKUNINCHO
SHINJUKU-KU, TOKYO",Atinn Inc.,Size 15.10 m²,Floor 1 / 2F,Year Built 2017,Okubo Station (3 min. walk),"Monthly Costs ¥101,500"
5162,1R APARTMENT,"IN YOKOAMI
SUMIDA-KU, TOKYO",Atinn Inc.,Size 13.90 m²,Floor 2 / 2F,Year Built 2016,Ryogoku Station (4 min. walk),"Monthly Costs ¥106,920"
5163,1R APARTMENT,"IN HIGASHIGOTANDA
SHINAGAWA-KU, TOKYO",Atinn Inc.,Size 11.42 m²,Floor 2 / 4F,Year Built 2021,Osaki Station (5 min. walk),"Monthly Costs ¥95,500"
5164,1R APARTMENT,"IN TAISHIDO
SETAGAYA-KU, TOKYO",World Clover,Size 25.74 m²,Floor 5 / 8F,Year Built 2004,Sangenjaya Station (1 min. walk),"Monthly Costs ¥117,000"
